ct,census_tract,county,city,tot_households,moe_households,tot_less_than_10K,moe_less_than_10K,tot_more_than_200K,moe_more_than_200K,median_income,moe_median_income,tot_families,moe_families
36005003900,Census Tract 39, Bronx County, New York,2299.00,313.00,7.20,6.70,4.80,4.40,28508.00,16320.00,1312.00,261.00
36005004001,Census Tract 40.01, Bronx County, New York,507.00,80.00,2.60,3.30,14.60,9.20,76050.00,13566.00,354.00,85.00
36005004100,Census Tract 41, Bronx County, New York,2359.00,321.00,12.50,6.80,4.40,4.90,21819.00,9083.00,1383.00,325.00
36005004200,Census Tract 42, Bronx County, New York,2837.00,317.00,6.20,5.20,0.80,1.60,52974.00,16599.00,2142.00,373.00
36005004300,Census Tract 43, Bronx County, New York,2099.00,211.00,20.00,7.00,2.20,2.00,29704.00,19689.00,1158.00,244.00
36005004400,Census Tract 44, Bronx County, New York,1578.00,128.00,25.30,8.20,4.10,4.80,21016.00,5569.00,1046.00,169.00
36005004600,Census Tract 46, Bronx County, New York,658.00,80.00,17.60,9.60,0.00,5.90,21346.00,10794.00,382.00,101.00
36005004800,Census Tract 48, Bronx County, New York,1504.00,144.00,18.90,7.10,1.40,2.30,45118.00,20947.00,1117.00,187.00
36005005001,Census Tract 50.01, Bronx County, New York,1343.00,133.00,15.80,8.50,0.00,2.90,35164.00,8940.00,971.00,155.00
36005005002,Census Tract 50.02, Bronx County, New York,1888.00,220.00,10.50,5.40,5.20,5.80,36066.00,14115.00,1270.00,236.00
36005005100,Census Tract 51, Bronx County, New York,2621.00,271.00,12.20,6.30,0.00,1.50,25468.00,4767.00,1497.00,261.00
36005005200,Census Tract 52, Bronx County, New York,788.00,107.00,14.30,7.70,0.60,1.00,35147.00,18232.00,569.00,96.00
36005005300,Census Tract 53, Bronx County, New York,1595.00,171.00,18.60,9.80,0.00,2.50,22352.00,6391.00,891.00,237.00
36005005400,Census Tract 54, Bronx County, New York,1702.00,231.00,13.00,6.90,3.80,3.30,58452.00,19753.00,1316.00,220.00
36005005600,Census Tract 56, Bronx County, New York,1025.00,165.00,8.50,4.80,11.90,11.40,47628.00,14886.00,549.00,156.00
36005005902,Census Tract 59.02, Bronx County, New York,1286.00,189.00,4.00,4.30,7.40,5.20,46902.00,25721.00,604.00,143.00
36005006000,Census Tract 60, Bronx County, New York,385.00,71.00,9.40,9.20,3.60,5.60,53371.00,19655.00,256.00,85.00
36005006100,Census Tract 61, Bronx County, New York,1940.00,316.00,7.00,5.20,2.60,2.10,75608.00,18518.00,981.00,321.00
36005006200,Census Tract 62, Bronx County, New York,2489.00,342.00,20.80,9.60,0.50,0.80,27243.00,12280.00,1682.00,383.00
36005006301,Census Tract 63.01, Bronx County, New York,2584.00,238.00,10.80,6.70,12.30,10.30,58118.00,17002.00,1264.00,262.00
36005006302,Census Tract 63.02, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005006400,Census Tract 64, Bronx County, New York,1407.00,206.00,22.50,12.40,3.10,3.60,40778.00,11825.00,907.00,211.00
36005006500,Census Tract 65, Bronx County, New York,2153.00,279.00,22.60,12.70,0.80,1.30,24184.00,10172.00,1297.00,325.00
36005006700,Census Tract 67, Bronx County, New York,2595.00,454.00,15.50,9.00,0.00,1.50,,,1487.00,519.00
36005006800,Census Tract 68, Bronx County, New York,917.00,172.00,12.60,8.80,2.20,3.40,33996.00,5615.00,682.00,214.00
36005006900,Census Tract 69, Bronx County, New York,2804.00,383.00,15.30,11.90,2.90,3.70,32199.00,20165.00,1521.00,398.00
36005007000,Census Tract 70, Bronx County, New York,1373.00,148.00,19.20,7.80,4.60,4.00,43672.00,26409.00,919.00,164.00
36005007100,Census Tract 71, Bronx County, New York,1386.00,133.00,24.20,12.90,6.40,6.60,34853.00,11047.00,664.00,197.00
36005007200,Census Tract 72, Bronx County, New York,1623.00,225.00,7.90,6.70,7.60,5.20,64464.00,11133.00,1137.00,191.00
36005007300,Census Tract 73, Bronx County, New York,1552.00,226.00,23.30,15.10,0.00,2.50,31442.00,5268.00,1131.00,247.00
36005007400,Census Tract 74, Bronx County, New York,1380.00,121.00,12.00,8.90,2.50,2.70,52641.00,21975.00,899.00,184.00
36005007500,Census Tract 75, Bronx County, New York,2449.00,191.00,20.70,8.20,2.90,2.80,35892.00,8870.00,1655.00,253.00
36005007600,Census Tract 76, Bronx County, New York,1825.00,245.00,8.10,6.40,7.30,5.50,53650.00,10144.00,1308.00,219.00
36005007700,Census Tract 77, Bronx County, New York,591.00,76.00,17.80,9.70,0.00,6.50,44447.00,6530.00,469.00,82.00
36005007800,Census Tract 78, Bronx County, New York,1981.00,192.00,9.60,6.60,5.90,4.20,58513.00,21218.00,1276.00,203.00
36005007900,Census Tract 79, Bronx County, New York,2290.00,251.00,25.00,9.80,2.10,3.50,36514.00,14495.00,1863.00,315.00
36005008300,Census Tract 83, Bronx County, New York,2239.00,248.00,13.60,8.70,2.60,1.90,53560.00,12906.00,1393.00,337.00
36005008400,Census Tract 84, Bronx County, New York,1008.00,351.00,2.10,2.30,10.90,8.40,57083.00,23939.00,519.00,96.00
36005008500,Census Tract 85, Bronx County, New York,2110.00,242.00,11.00,5.30,4.30,3.40,43531.00,19042.00,1180.00,234.00
36005008600,Census Tract 86, Bronx County, New York,1539.00,270.00,26.10,14.80,1.80,3.20,24023.00,9431.00,1103.00,294.00
36005008700,Census Tract 87, Bronx County, New York,2109.00,188.00,14.60,7.50,3.10,3.60,40708.00,5161.00,1534.00,262.00
36005008900,Census Tract 89, Bronx County, New York,1327.00,198.00,6.00,5.50,2.70,4.90,36625.00,13115.00,628.00,175.00
36005009000,Census Tract 90, Bronx County, New York,1221.00,197.00,18.00,9.40,3.30,3.30,33275.00,16425.00,902.00,207.00
36005009200,Census Tract 92, Bronx County, New York,1871.00,179.00,5.80,4.70,6.10,4.30,56913.00,14039.00,1354.00,230.00
36005009301,Census Tract 93.01, Bronx County, New York,1918.00,231.00,6.30,4.90,4.20,4.00,54241.00,6676.00,1301.00,261.00
36005009302,Census Tract 93.02, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005009600,Census Tract 96, Bronx County, New York,835.00,149.00,19.00,12.80,4.40,3.30,53523.00,10891.00,516.00,109.00
36005009800,Census Tract 98, Bronx County, New York,1680.00,138.00,13.60,8.30,3.10,3.40,67500.00,36499.00,1163.00,197.00
36005011000,Census Tract 110, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005011502,Census Tract 115.02, Bronx County, New York,1507.00,197.00,17.10,9.40,2.80,4.40,30172.00,8274.00,956.00,290.00
36005011701,Census Tract 117.01, Bronx County, New York,492.00,41.00,15.40,8.90,0.00,7.80,35298.00,5712.00,294.00,58.00
36005011702,Census Tract 117.02, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005011800,Census Tract 118, Bronx County, New York,1566.00,184.00,4.10,3.00,14.00,6.70,100500.00,29867.00,1137.00,170.00
36005011900,Census Tract 119, Bronx County, New York,1874.00,194.00,12.30,5.10,0.60,0.90,36250.00,8490.00,1429.00,217.00
36005012101,Census Tract 121.01, Bronx County, New York,1055.00,85.00,9.80,5.80,7.10,6.00,51205.00,9713.00,758.00,120.00
36005012102,Census Tract 121.02, Bronx County, New York,548.00,148.00,10.20,7.30,0.00,7.00,43032.00,27251.00,348.00,110.00
36005012300,Census Tract 123, Bronx County, New York,1710.00,222.00,18.00,8.70,7.80,7.20,36154.00,20919.00,1206.00,261.00
36005012500,Census Tract 125, Bronx County, New York,1418.00,128.00,5.30,5.50,5.60,4.10,58333.00,19909.00,1024.00,157.00
36005012701,Census Tract 127.01, Bronx County, New York,775.00,102.00,1.80,2.50,0.00,5.00,49784.00,18556.00,539.00,126.00
36005012901,Census Tract 129.01, Bronx County, New York,1653.00,231.00,18.00,8.00,0.00,2.40,35521.00,17605.00,1205.00,271.00
36005013000,Census Tract 130, Bronx County, New York,444.00,107.00,2.70,3.00,16.40,8.90,65357.00,16851.00,292.00,56.00
36005013100,Census Tract 131, Bronx County, New York,2240.00,263.00,22.90,7.80,2.60,2.80,18408.00,2004.00,828.00,193.00
36005013200,Census Tract 132, Bronx County, New York,2609.00,301.00,6.10,4.50,20.10,6.80,108582.00,20721.00,2010.00,315.00
36005013300,Census Tract 133, Bronx County, New York,2191.00,321.00,22.00,10.40,0.00,1.80,31762.00,4326.00,1470.00,363.00
36005013500,Census Tract 135, Bronx County, New York,1485.00,223.00,18.20,13.40,0.00,2.70,30865.00,26467.00,1033.00,240.00
36005013800,Census Tract 138, Bronx County, New York,1250.00,194.00,11.90,7.40,10.60,5.30,90032.00,27875.00,713.00,129.00
36005014100,Census Tract 141, Bronx County, New York,2957.00,206.00,10.40,5.20,2.60,2.50,35238.00,6744.00,1564.00,276.00
36005014300,Census Tract 143, Bronx County, New York,697.00,70.00,23.70,10.40,0.00,5.60,16734.00,2988.00,282.00,69.00
36005014400,Census Tract 144, Bronx County, New York,2318.00,307.00,20.30,10.80,4.40,4.90,32197.00,14791.00,1328.00,224.00
36005014500,Census Tract 145, Bronx County, New York,2381.00,423.00,12.10,8.00,1.10,1.70,28022.00,10177.00,1415.00,455.00
36005014701,Census Tract 147.01, Bronx County, New York,2052.00,425.00,24.10,13.80,0.00,1.90,23500.00,17794.00,1179.00,469.00
36005014702,Census Tract 147.02, Bronx County, New York,1881.00,457.00,9.20,5.30,0.00,2.10,21533.00,10702.00,1226.00,324.00
36005014900,Census Tract 149, Bronx County, New York,1535.00,142.00,25.40,10.30,5.60,6.00,35213.00,22173.00,784.00,204.00
36005015100,Census Tract 151, Bronx County, New York,2146.00,443.00,8.10,5.50,3.20,3.30,30558.00,5824.00,1113.00,340.00
36005015200,Census Tract 152, Bronx County, New York,976.00,111.00,1.80,1.90,10.20,6.50,84265.00,13220.00,595.00,115.00
36005015300,Census Tract 153, Bronx County, New York,1749.00,327.00,10.60,6.60,1.30,2.10,34704.00,17018.00,763.00,182.00
36005015500,Census Tract 155, Bronx County, New York,1085.00,182.00,10.40,8.10,0.00,3.60,42118.00,13407.00,746.00,197.00
36005015700,Census Tract 157, Bronx County, New York,2267.00,109.00,13.60,6.50,3.80,3.40,45731.00,12662.00,1286.00,245.00
36005015800,Census Tract 158, Bronx County, New York,534.00,53.00,13.30,9.30,19.90,9.30,81000.00,16084.00,341.00,67.00
36005015900,Census Tract 159, Bronx County, New York,929.00,165.00,5.40,5.50,0.00,4.20,24654.00,11941.00,450.00,147.00
36005016000,Census Tract 160, Bronx County, New York,1543.00,155.00,4.40,3.50,17.60,8.20,97445.00,19129.00,1164.00,140.00
36005016100,Census Tract 161, Bronx County, New York,2127.00,252.00,20.00,10.80,0.00,1.90,23466.00,8129.00,1372.00,301.00
36005016200,Census Tract 162, Bronx County, New York,497.00,74.00,5.00,5.50,20.30,9.40,102361.00,32241.00,391.00,63.00
36005016300,Census Tract 163, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005016400,Census Tract 164, Bronx County, New York,391.00,70.00,13.30,10.60,11.00,9.70,95781.00,24502.00,279.00,50.00
36005016500,Census Tract 165, Bronx County, New York,360.00,42.00,9.20,9.50,0.00,10.50,59000.00,24354.00,267.00,58.00
36005016600,Census Tract 166, Bronx County, New York,833.00,98.00,7.40,4.80,10.10,7.30,107344.00,18045.00,644.00,108.00
36005016700,Census Tract 167, Bronx County, New York,1123.00,142.00,18.20,9.70,2.80,2.80,36181.00,16702.00,702.00,165.00
36005016900,Census Tract 169, Bronx County, New York,605.00,147.00,7.90,6.20,0.00,6.40,47610.00,7325.00,334.00,96.00
36005017100,Census Tract 171, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005017300,Census Tract 173, Bronx County, New York,2226.00,243.00,20.30,11.10,0.00,1.80,,,1336.00,331.00
36005017500,Census Tract 175, Bronx County, New York,3035.00,400.00,27.20,14.80,0.00,1.30,,,1530.00,275.00
36005017701,Census Tract 177.01, Bronx County, New York,1397.00,234.00,10.10,8.30,1.90,3.10,46070.00,16803.00,1025.00,281.00
36005017702,Census Tract 177.02, Bronx County, New York,1681.00,220.00,24.80,10.20,2.50,3.50,38897.00,17333.00,1306.00,240.00
36005017901,Census Tract 179.01, Bronx County, New York,1689.00,290.00,11.70,7.10,4.30,3.30,45292.00,10143.00,1112.00,338.00
36005017902,Census Tract 179.02, Bronx County, New York,1305.00,233.00,3.60,4.20,1.20,2.00,46230.00,20180.00,1006.00,252.00
36005018101,Census Tract 181.01, Bronx County, New York,1048.00,148.00,17.00,11.20,1.40,2.50,55400.00,7397.00,758.00,183.00
36005018102,Census Tract 181.02, Bronx County, New York,2161.00,546.00,9.00,6.10,1.00,1.70,36334.00,29263.00,838.00,195.00
36005018301,Census Tract 183.01, Bronx County, New York,2017.00,188.00,9.30,4.50,8.20,3.70,54226.00,14735.00,887.00,180.00
36005018302,Census Tract 183.02, Bronx County, New York,1467.00,372.00,4.70,5.50,1.70,2.60,65196.00,31451.00,725.00,127.00
36005018400,Census Tract 184, Bronx County, New York,1376.00,142.00,4.70,5.20,4.90,3.90,101705.00,32861.00,946.00,169.00
36005018501,Census Tract 185.01, Bronx County, New York,1381.00,217.00,14.30,10.50,0.00,2.90,,,684.00,221.00
36005018502,Census Tract 185.02, Bronx County, New York,2156.00,200.00,25.40,13.20,0.10,2.10,32656.00,28438.00,1356.00,293.00
36005018900,Census Tract 189, Bronx County, New York,2925.00,219.00,12.60,6.60,3.10,2.70,48054.00,24851.00,1734.00,317.00
36005019300,Census Tract 193, Bronx County, New York,2418.00,345.00,9.10,8.50,0.00,1.60,41268.00,8331.00,1456.00,391.00
36005019400,Census Tract 194, Bronx County, New York,686.00,93.00,6.40,5.30,13.10,7.50,87188.00,18616.00,485.00,101.00
36005019500,Census Tract 195, Bronx County, New York,2672.00,248.00,11.80,7.00,0.80,2.00,37374.00,20052.00,1400.00,351.00
36005019700,Census Tract 197, Bronx County, New York,2462.00,406.00,17.70,7.90,2.40,2.70,24383.00,12726.00,1650.00,316.00
36005019900,Census Tract 199, Bronx County, New York,3162.00,401.00,11.90,7.90,1.20,2.00,31228.00,10767.00,1971.00,477.00
36005020000,Census Tract 200, Bronx County, New York,1467.00,116.00,12.70,6.50,11.10,5.00,47161.00,9312.00,1098.00,164.00
36005020100,Census Tract 201, Bronx County, New York,1439.00,213.00,16.80,8.20,2.80,3.60,36218.00,9922.00,977.00,240.00
36005020200,Census Tract 202, Bronx County, New York,1000.00,160.00,4.70,3.50,3.30,2.80,52061.00,4088.00,588.00,139.00
36005020400,Census Tract 204, Bronx County, New York,987.00,136.00,8.00,5.80,5.70,5.40,60504.00,11635.00,698.00,149.00
36005020501,Census Tract 205.01, Bronx County, New York,2652.00,161.00,23.40,8.70,2.90,4.50,20821.00,6636.00,1659.00,268.00
36005020502,Census Tract 205.02, Bronx County, New York,1016.00,135.00,24.40,10.60,4.30,4.60,41125.00,22251.00,588.00,144.00
36005020601,Census Tract 206.01, Bronx County, New York,1028.00,136.00,5.40,4.70,4.30,4.50,59138.00,17079.00,575.00,154.00
36005020900,Census Tract 209, Bronx County, New York,1989.00,256.00,11.50,6.50,0.70,1.00,39795.00,13053.00,1265.00,221.00
36005021001,Census Tract 210.01, Bronx County, New York,3570.00,308.00,11.00,6.90,2.40,2.10,46223.00,20890.00,1802.00,396.00
36005021002,Census Tract 210.02, Bronx County, New York,3046.00,478.00,7.50,6.10,5.30,3.40,70500.00,20466.00,1865.00,460.00
36005021100,Census Tract 211, Bronx County, New York,2057.00,222.00,6.60,4.50,6.60,5.60,50204.00,11464.00,1181.00,183.00
36005021200,Census Tract 212, Bronx County, New York,2356.00,345.00,9.90,6.60,1.90,1.90,69088.00,9174.00,1207.00,340.00
36005021301,Census Tract 213.01, Bronx County, New York,450.00,72.00,4.40,4.90,0.00,8.50,47959.00,24242.00,300.00,98.00
36005021302,Census Tract 213.02, Bronx County, New York,2361.00,357.00,19.50,10.60,1.50,2.20,30473.00,14899.00,1255.00,201.00
36005021501,Census Tract 215.01, Bronx County, New York,1314.00,179.00,12.50,6.70,6.70,10.10,43750.00,13957.00,826.00,214.00
36005021502,Census Tract 215.02, Bronx County, New York,2228.00,248.00,31.50,13.60,1.30,2.10,,,1465.00,281.00
36005021601,Census Tract 216.01, Bronx County, New York,1564.00,217.00,11.80,6.60,4.90,3.30,54565.00,19690.00,1159.00,246.00
36005021602,Census Tract 216.02, Bronx County, New York,2389.00,286.00,3.60,3.30,5.30,5.20,59408.00,8029.00,1592.00,352.00
36005021700,Census Tract 217, Bronx County, New York,1839.00,210.00,12.00,6.50,1.60,1.70,41416.00,7160.00,1073.00,264.00
36005021800,Census Tract 218, Bronx County, New York,2294.00,331.00,10.50,7.60,1.00,1.60,58807.00,19460.00,1322.00,328.00
36005021900,Census Tract 219, Bronx County, New York,419.00,80.00,10.00,9.70,5.00,4.60,48623.00,1744.00,236.00,75.00
36005022000,Census Tract 220, Bronx County, New York,634.00,85.00,22.10,9.20,5.00,5.40,23468.00,8938.00,368.00,94.00
36005022101,Census Tract 221.01, Bronx County, New York,1301.00,161.00,5.10,5.20,0.00,3.00,58186.00,15560.00,874.00,200.00
36005022102,Census Tract 221.02, Bronx County, New York,1641.00,190.00,6.70,5.10,0.00,2.40,37022.00,27118.00,1295.00,234.00
36005022200,Census Tract 222, Bronx County, New York,1110.00,125.00,6.00,4.20,4.00,3.00,56029.00,13322.00,713.00,142.00
36005022300,Census Tract 223, Bronx County, New York,2154.00,442.00,14.40,11.40,0.90,1.50,45007.00,16748.00,1537.00,365.00
36005022401,Census Tract 224.01, Bronx County, New York,967.00,98.00,13.70,8.50,7.90,4.70,67824.00,21851.00,633.00,125.00
36005022403,Census Tract 224.03, Bronx County, New York,1106.00,142.00,8.20,6.80,4.90,4.40,91225.00,19995.00,673.00,156.00
36005022404,Census Tract 224.04, Bronx County, New York,1933.00,216.00,6.00,4.20,7.10,5.40,59482.00,8220.00,1190.00,230.00
36005022500,Census Tract 225, Bronx County, New York,2336.00,226.00,11.90,5.90,2.70,2.90,53191.00,8771.00,1946.00,282.00
36005022701,Census Tract 227.01, Bronx County, New York,2045.00,308.00,7.60,5.00,6.30,4.70,37134.00,10489.00,1344.00,263.00
36005022702,Census Tract 227.02, Bronx County, New York,548.00,72.00,11.90,7.90,4.60,6.80,27446.00,10072.00,340.00,78.00
36005022703,Census Tract 227.03, Bronx County, New York,708.00,142.00,13.10,7.30,1.40,2.00,66146.00,37113.00,350.00,133.00
36005022800,Census Tract 228, Bronx County, New York,2317.00,301.00,7.90,6.70,6.60,6.20,87961.00,31281.00,1450.00,274.00
36005022901,Census Tract 229.01, Bronx County, New York,1964.00,225.00,12.80,6.30,2.70,3.80,52763.00,15838.00,1260.00,228.00
36005022902,Census Tract 229.02, Bronx County, New York,1157.00,179.00,12.10,8.50,0.00,3.40,35313.00,19562.00,737.00,151.00
36005023000,Census Tract 230, Bronx County, New York,963.00,165.00,3.30,3.90,2.70,3.80,55460.00,8167.00,658.00,169.00
36005023100,Census Tract 231, Bronx County, New York,410.00,87.00,7.60,11.30,0.00,9.30,59388.00,15401.00,292.00,87.00
36005023200,Census Tract 232, Bronx County, New York,862.00,80.00,17.20,7.90,6.00,4.70,45125.00,15293.00,516.00,94.00
36005023301,Census Tract 233.01, Bronx County, New York,1648.00,214.00,22.30,9.50,4.50,5.10,42778.00,17423.00,833.00,261.00
36005023302,Census Tract 233.02, Bronx County, New York,1037.00,100.00,17.90,13.20,3.30,4.20,65156.00,19053.00,740.00,183.00
36005023501,Census Tract 235.01, Bronx County, New York,1244.00,194.00,13.60,8.80,0.00,3.20,37194.00,8792.00,747.00,194.00
36005023502,Census Tract 235.02, Bronx County, New York,1607.00,180.00,11.20,7.00,6.10,8.60,47484.00,8551.00,995.00,249.00
36005023600,Census Tract 236, Bronx County, New York,557.00,80.00,5.40,4.20,2.90,4.30,54583.00,36595.00,355.00,86.00
36005023702,Census Tract 237.02, Bronx County, New York,323.00,96.00,9.30,8.50,3.70,4.30,44583.00,40184.00,251.00,96.00
36005023703,Census Tract 237.03, Bronx County, New York,1804.00,401.00,23.60,18.00,0.00,2.20,27763.00,12456.00,1332.00,411.00
36005023704,Census Tract 237.04, Bronx County, New York,1452.00,207.00,20.90,9.70,1.70,3.30,32984.00,15898.00,1038.00,224.00
36005023800,Census Tract 238, Bronx County, New York,743.00,78.00,7.40,5.10,4.20,3.10,67750.00,18173.00,538.00,93.00
36005023900,Census Tract 239, Bronx County, New York,2663.00,307.00,18.30,9.90,4.50,6.80,51172.00,15066.00,2078.00,410.00
36005024000,Census Tract 240, Bronx County, New York,1351.00,196.00,3.60,3.80,12.80,5.60,72608.00,16991.00,1019.00,221.00
36005024100,Census Tract 241, Bronx County, New York,2350.00,493.00,19.90,16.30,0.00,1.70,29527.00,21542.00,1407.00,298.00
36005024300,Census Tract 243, Bronx County, New York,1985.00,170.00,29.60,9.80,0.00,2.00,24293.00,11615.00,981.00,271.00
36005024400,Census Tract 244, Bronx County, New York,831.00,139.00,5.80,4.20,6.30,3.40,78854.00,30112.00,578.00,145.00
36005024501,Census Tract 245.01, Bronx County, New York,1591.00,111.00,11.30,5.80,0.00,2.50,49904.00,7458.00,1246.00,158.00
36005024502,Census Tract 245.02, Bronx County, New York,1259.00,196.00,6.90,4.70,6.50,6.20,37448.00,31364.00,836.00,205.00
36005024600,Census Tract 246, Bronx County, New York,793.00,118.00,2.30,3.30,10.30,9.00,95703.00,16687.00,589.00,96.00
36005024700,Census Tract 247, Bronx County, New York,742.00,76.00,4.30,5.40,2.30,2.60,47283.00,10714.00,392.00,91.00
36005024800,Census Tract 248, Bronx County, New York,1210.00,152.00,6.10,3.90,9.90,6.40,78839.00,34694.00,750.00,205.00
36005024900,Census Tract 249, Bronx County, New York,0.00,13.00,,,,,,,0.00,13.00
36005025000,Census Tract 250, Bronx County, New York,936.00,145.00,6.40,5.60,17.10,10.10,109667.00,39588.00,692.00,159.00
36005025100,Census Tract 251, Bronx County, New York,2313.00,259.00,2.90,2.60,3.20,3.20,50410.00,13551.00,1694.00,340.00
36005025200,Census Tract 252, Bronx County, New York,895.00,103.00,3.50,3.30,6.80,5.20,80583.00,22986.00,655.00,111.00
36005025300,Census Tract 253, Bronx County, New York,1856.00,194.00,16.00,7.80,0.00,2.10,43421.00,14991.00,1144.00,229.00
36005025400,Census Tract 254, Bronx County, New York,764.00,104.00,10.60,6.70,11.60,7.20,66053.00,15832.00,498.00,88.00
36005025500,Census Tract 255, Bronx County, New York,2357.00,380.00,13.40,8.40,0.90,1.60,55042.00,26155.00,1484.00,421.00
36005025600,Census Tract 256, Bronx County, New York,611.00,104.00,9.70,8.00,6.50,3.40,58924.00,11661.00,325.00,87.00
36005025700,Census Tract 257, Bronx County, New York,684.00,97.00,12.60,9.00,6.00,6.20,55962.00,35497.00,395.00,105.00
36005026100,Census Tract 261, Bronx County, New York,1154.00,234.00,20.10,16.10,9.40,5.80,60357.00,21039.00,456.00,81.00
36005026300,Census Tract 263, Bronx County, New York,2178.00,304.00,11.60,6.80,1.70,2.90,44709.00,20591.00,1590.00,337.00
36005026400,Census Tract 264, Bronx County, New York,2165.00,281.00,5.80,5.00,14.00,9.70,58307.00,24417.00,1526.00,318.00
36005026500,Census Tract 265, Bronx County, New York,2341.00,307.00,6.50,5.30,1.40,2.30,60495.00,15768.00,1759.00,332.00
36005026601,Census Tract 266.01, Bronx County, New York,1359.00,114.00,13.50,6.30,6.10,5.60,47266.00,14091.00,762.00,139.00
36005026602,Census Tract 266.02, Bronx County, New York,2459.00,378.00,7.20,4.80,3.50,3.10,51442.00,8829.00,1338.00,406.00
36005026701,Census Tract 267.01, Bronx County, New York,1294.00,209.00,13.00,7.50,1.20,1.40,44750.00,11717.00,831.00,196.00
36005026702,Census Tract 267.02, Bronx County, New York,2651.00,488.00,8.50,5.00,1.70,2.50,61494.00,23072.00,1506.00,243.00
36005026900,Census Tract 269, Bronx County, New York,1905.00,413.00,20.90,7.10,4.80,4.80,29140.00,14764.00,896.00,170.00
36005027300,Census Tract 273, Bronx County, New York,2954.00,481.00,9.70,7.10,1.80,2.00,54096.00,6579.00,1439.00,282.00
36005027401,Census Tract 274.01, Bronx County, New York,1783.00,174.00,1.90,2.20,23.50,8.30,104811.00,47088.00,1357.00,197.00
36005027402,Census Tract 274.02, Bronx County, New York,1288.00,193.00,9.50,6.70,25.30,13.00,101667.00,22077.00,678.00,133.00
36005027600,Census Tract 276, Bronx County, New York,18.00,25.00,44.40,49.10,0.00,77.50,,,18.00,25.00
36005027700,Census Tract 277, Bronx County, New York,1789.00,168.00,16.40,8.90,0.80,1.90,54482.00,31440.00,1078.00,243.00
36005027900,Census Tract 279, Bronx County, New York,2978.00,304.00,5.40,4.00,2.70,2.70,65000.00,21463.00,1910.00,354.00
36005028100,Census Tract 281, Bronx County, New York,1685.00,224.00,3.60,2.60,7.70,4.70,79886.00,25604.00,843.00,155.00
36005028300,Census Tract 283, Bronx County, New York,1037.00,305.00,26.80,17.40,0.70,1.40,14194.00,4342.00,653.00,311.00
